id,gender,age,education,is_capital,income,ideology,DemPolGrievence,PolicyPolGrievence,EUPolGrievence,EconGrievenceRetro,EconGrievenceProspInd,EconGrievenceProspAgg,NatPride,NativeRights,NativeJobs,LawOrder,Chauvinism,ChristianSchool,GayNeighbor,GayPartner,ForNeighbor,ForPartner,Ukraine,DemonstrateNational,DemonstrateTrad
115,2,30,2,0,4,3,4,4,2,4,4,5,3,4,4,3,1,2,2,4,2,2,2,0,0
116,1,33,1,0,5,1,4,4,3,3,3,4,4,3,3,3,2,3,2,2,2,2,2,0,0
117,2,60,3,0,5,2,4,4,2,3,3,2,3,3,3,4,2,3,2,3,3,4,3,0,0
118,1,19,1,0,4,3,1,1,1,2,2,4,4,3,3,4,4,3,2,2,2,1,1,0,0
119,2,50,2,0,3,2.75,3,4,2,4,5,4,1,3,4,3,2,3,3,3,3,3,3,0,0
120,2,63,2,0,3,2.74,3,4,2,4,4,5,4,2,2,2,3,3,2,2,2,2,2,0,0
121,2,64,2,0,3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,2,0,0
122,2,56,2,0,4,4,3,3,1,2,3,2,3,2,2,3,2,2,1,2,1,1,1,0,0
123,1,64,1,0,2,3,4,4,4,3,3,5,1,4,4,3,3,2,3,4,3,4,3,0,0
124,2,70,2,0,3,3,3,3,2,4,4,4,4,3,4,2,2,3,2,3,2,3,2,0,0
125,1,20,2,0,3,3,3,3,3,3,4,4,3,3,3,2,3,2,2,2,3,3,2,0,0
126,2,67,3,0,3,1,4,4,4,4,5,5,3,4,4,4,4,2,3,3,3,4,3,0,0
127,2,66,1,0,2,3,2,3,2,4,4,4,3,3,4,4,2,3,3,4,3,3,2,0,0
128,2,30,2,0,3,3,3,3,2,4,4,4,4,3,3,3,2,3,2,2,1,1,1,0,0
129,2,67,2,0,2,3,4,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,4,0,0
130,1,26,1,0,3.8633333333333337,1,3,4,3,4,4,5,3,3,4,1,2,3,3,3,2,2,2,0,0
131,2,51,1,0,4,3,4,4,4,5,5,5,2,4,4,3,1,1,1,1,1,1,1,0,0
132,2,61,2,0,5,3,4,4,2,4,4,4,3,4,4,2,4,4,4,4,2,2,1,0,0
133,2,66,2,0,2,3,3,3,2,4,4,5,3,4,3,3,2,3,3,2,2,2,2,0,0
134,1,68,1,0,3,1,4,4,2,4,5,5,3,4,4,4,3,4,4,4,3,3,2,0,0
135,1,70,2,0,2,1,4,4,3,5,5,5,4,1,3,4,2,4,2,2,3,3,2,0,0
136,2,24,1,0,1,5,4,4,4,5,5,5,1,2,2,2,1,2,2,2,4,4,4,0,0
137,1,20,2,0,1,4,3,3,2,5,3,4,2,4,4,3,2,1,2,2,2,2,2,0,0
138,2,33,3,0,5,3,2,3,2,4,5,4,4,4,4,3,2,3,3,3,2,2,2,0,0
139,2,68,1,0,2,1,4,4,3,5,4,5,3,4,4,4,3,4,3,4,3,4,3,0,0
140,2,50,1,0,1,3,4,4,4,3,3,4,2,1,2,2,2,2,1,1,1,1,1,0,0
141,1,70,3,0,3,3,4,4,1,3,4,4,4,2,4,3,3,2,2,2,2,2,2,0,0
142,2,54,3,0,5,4,2,2,1,3,3,3,3,3,4,2,2,3,3,3,3,3,1,0,0
143,2,44,2,0,5,4,2,2,2,3,4,4,3,3,3,2,2,2,2,3,1,2,1,0,0
144,1,45,2,0,5,3,3,4,3,1,3,4,4,2,3,2,1,3,3,3,2,2,2,0,0
145,2,24,2,0,4,3,4,4,2,4,4,4,4,4,4,4,1,4,4,4,4,4,4,0,0
146,1,45,1,0,2,2.97,3,3,3,4,4,4,2,4,4,2,2,3,2,2,2,2,2,0,0
147,1,52,3,0,5,4,2,2,1,3,3,4,4,3,4,3,2,3,2,2,2,2,2,0,0
148,2,40,2,0,3.86,3,3,4,2,4,5,5,3,3,4,3,2,1,2,3,3,3,3,0,0
149,2,47,2,0,4,5,2,3,3,4,4,4,4,4,4,4,4,4,2,3,2,3,3,2,2
150,2,43,3,0,5,3.08,4,4,3,5,5,5,3,4,4,4,3,1,2,2,3,4,3,0,0
151,1,18,1,0,0,4,2,1,1,3,3,3,3,3,4,3,4,1,2,2,1,1,1,0,0
152,2,63,3,0,3,1,3,3,2,5,5,5,3,3,4,4,4,4,2,2,2,2,2,0,0
153,1,42,1,0,3.69,2,1,3,4,4,2,3,3,4,4,4,4,1,4,4,1,3,2,0,0
154,2,40,1,0,1,5,3,3,3,2,2,3,2,3,3,3,3,3,4,4,4,4,4,1,1
155,2,48,2,1,3,3,4,4,4,4,4,4,2,3,4,3,3,3,3,3,3,4,2,0,0
156,1,27,1,1,3,3,2,2,3,2,3,3,3,2,2,2,3,2,4,3,4,2,2,0,0
157,2,37,3,1,5,4,4,4,1,3,4,5,4,4,4,4,3,3,2,2,1,1,1,0,0
158,2,18,1,1,1,3,3,4,1,3,3,3,3,4,4,3,3,3,2,2,2,2,2,0,0
159,2,40,3,1,5,2,3,4,2,3,3,4,3,2,3,3,1,3,2,3,2,2,2,0,0
160,1,66,1,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
161,1,34,3,1,5,2,3,4,3,4,4,5,1,3,3,1,3,1,3,3,2,2,2,0,0
162,1,52,2,1,4,3,2,3,1,3,4,5,4,2,2,1,3,2,1,2,1,2,1,0,0
163,2,65,3,1,5,3,2,3,2,4,4,4,3,1,4,1,1,1,2,2,2,2,2,0,0
164,1,59,2,1,3.7766666666666664,3,4,4,3,4,5,5,4,3,4,2,3,3,2,4,4,4,4,0,0
165,2,37,3,1,4,4,1,2,1,3,2,2,2,1,1,4,3,1,1,1,1,1,1,0,0
